id,weight,gender,age,race_ethnicity,party_id,trump_pope_reaction
R0245,0.5941,Non-binary / Other,68,Other / Mixed Race,Democrat,I mean I get why Trump is annoyed but maybe not the best way to handle it.
R0246,0.9221,Male,58,Hispanic,Republican,idk not really into politics
R0247,1.4946,Male,74,Other / Mixed Race,Lean Republican,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0248,1.3428,Non-binary / Other,63,Hispanic,Republican,I mean I'm not catholic so I don't really care but I thought Trump made some valid points
R0249,1.5903,Male,18,Hispanic,Strong Democrat,I'm Catholic and I was deeply offended. The Pope deserves respect regardless of your politics.
R0250,0.4494,Male,40,"Black, non-Hispanic",Independent,I think both sides have a point. The pope has weighed in on very political issues and then acts surprised when politicians push back.
R0251,0.752,Male,42,"White, non-Hispanic",Democrat,It made me really sad. Even if you disagree with him you don't attack the pope like that.
R0252,0.6861,Female,26,"White, non-Hispanic",Lean Republican,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0253,1.0186,Male,38,"White, non-Hispanic",Strong Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0254,1.0912,Non-binary / Other,38,Hispanic,Lean Republican,About time. Leo said some pretty nasty things about our immigration policy first.
R0255,1.1654,Male,81,Hispanic,Democrat,Kind of a both sides thing for me. Neither of them should be doing this.
R0256,1.2352,Male,44,Other / Mixed Race,Lean Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0257,1.0668,Male,27,"White, non-Hispanic",Strong Republican,I don't really have an opinion on this
R0258,1.0107,Female,36,"White, non-Hispanic",Lean Republican,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0259,0.824,Female,46,"White, non-Hispanic",Lean Democrat,I don't love it but I also don't love that the pope gets involved in american politics. so.
R0260,0.9306,Male,23,"White, non-Hispanic",Strong Democrat,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0261,1.0657,Male,33,Hispanic,Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0262,0.8406,Female,52,Hispanic,Strong Democrat,Conflicted. I'm not a fan of how Trump said it but I do think the pope shouldn't be making political statements.
R0263,0.8988,Male,52,"Black, non-Hispanic",Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0264,0.748,Female,68,Asian / Pacific Islander,Democrat,As someone who respects all religions I was very troubled by the tone and the words he used.
R0265,0.5372,Female,18,"White, non-Hispanic",Democrat,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0266,0.9712,Non-binary / Other,33,"White, non-Hispanic",Lean Democrat,I thought it was shameful. World leaders used to at least have the decency to respect the church.
R0267,1.2092,Female,75,"Black, non-Hispanic",Democrat,idk
R0268,0.7825,Non-binary / Other,82,"White, non-Hispanic",Democrat,haven't followed it
R0269,0.9949,Non-binary / Other,51,"Black, non-Hispanic",Strong Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0270,0.9058,Female,45,Asian / Pacific Islander,Strong Democrat,Beyond disapointed. This is not who we should be as Americans.
R0271,1.1187,Female,26,Hispanic,Lean Democrat,I'm Catholic and I was deeply offended. The Pope deserves respect regardless of your politics.
R0272,1.1997,Male,42,"White, non-Hispanic",Independent,I didn't hear about that
R0273,0.9476,Non-binary / Other,25,"White, non-Hispanic",Democrat,Not sure what you're referring to
R0274,0.7215,Female,46,Hispanic,Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0275,1.6152,Female,54,"White, non-Hispanic",Republican,Not sure what you're referring to
R0276,0.7391,Male,75,"White, non-Hispanic",Strong Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0277,0.9618,Non-binary / Other,59,"White, non-Hispanic",Strong Republican,I mean I'm not catholic so I don't really care but I thought Trump made some valid points
R0278,0.8645,Female,39,Hispanic,Democrat,Very upset. Pope Leo is a good man who speaks for the poor and vulnerable. Trump attacking him says everything.
R0279,0.9626,Male,54,Other / Mixed Race,Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0280,0.6695,Female,65,"Black, non-Hispanic",Lean Republican,haven't heard about it tbh
R0281,0.6268,Male,42,Hispanic,Strong Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0282,1.0619,Non-binary / Other,18,Other / Mixed Race,Independent,i dont really follow the news that much
R0283,1.137,Non-binary / Other,18,"White, non-Hispanic",Democrat,As someone who respects all religions I was very troubled by the tone and the words he used.
R0284,1.8511,Female,66,Hispanic,Democrat,Completely disgusted. There is no excuse for that kind of language directed at a religious leader.
R0285,0.8142,Female,34,"White, non-Hispanic",Strong Republican,I think Trump could have been more respectful but I get the sentiment. The Vatican has been very anti-Trump for years.
R0286,1.1539,Male,46,"White, non-Hispanic",Lean Democrat,I don't really have an opinion on this
R0287,1.081,Female,39,Other / Mixed Race,Lean Republican,good for him! the pope had it coming with all his comments about trump supporters
R0288,1.2484,Female,31,Hispanic,Strong Democrat,"Not great, not terrible. Both of them need to dial it back."
R0289,1.0508,Female,68,"White, non-Hispanic",Strong Republican,He's right to push back. The pope made comments about immigration that were directed at Trump and he had every right to respond.
R0290,2.0894,Female,35,"White, non-Hispanic",Lean Democrat,I don't pay attention to that kind of stuff
R0291,0.6141,Male,44,Asian / Pacific Islander,Strong Democrat,Disgusting behavior from the president. Pope Leo is a decent compassionate man.
R0292,1.3361,Male,36,"White, non-Hispanic",Strong Democrat,Furious. The pope has been speaking about peace and caring for the poor and Trump attacks him for that?
R0293,0.8878,Male,42,Hispanic,Democrat,Terrible. Just terrible. The man has no shame.
R0294,1.5474,Female,51,"White, non-Hispanic",Strong Democrat,The disrespect was shocking even by his standards. Pope Leo has done nothing to deserve that.
R0295,0.7222,Female,27,Other / Mixed Race,Democrat,I think it was incredibly disrespectful and un-American in a way. We have always respected religious leaders.
R0296,0.9822,Male,36,Hispanic,Strong Democrat,I think it was incredibly disrespectful and un-American in a way. We have always respected religious leaders.
R0297,0.8823,Male,21,Hispanic,Democrat,Completely disgusted. There is no excuse for that kind of language directed at a religious leader.
R0298,0.5015,Male,70,Asian / Pacific Islander,Strong Republican,good for him! the pope had it coming with all his comments about trump supporters
R0299,0.6504,Female,74,"Black, non-Hispanic",Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0300,1.0128,Non-binary / Other,58,"White, non-Hispanic",Strong Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0301,0.6776,Non-binary / Other,67,Hispanic,Lean Democrat,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0302,0.5718,Female,66,"White, non-Hispanic",Republican,I mean I get why Trump is annoyed but maybe not the best way to handle it.
R0303,0.7606,Female,83,Hispanic,Strong Republican,I was proud of him for saying it. We don't need the Vatican telling us how to run our country.
R0304,1.0855,Male,37,Asian / Pacific Islander,Strong Democrat,don't know
R0305,1.1279,Female,34,Hispanic,Republican,I mean he's the president he can say what he wants. If the pope doesn't like it maybe stay in rome
R0306,0.7918,Male,56,Asian / Pacific Islander,Lean Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0307,1.8249,Non-binary / Other,64,"White, non-Hispanic",Strong Democrat,"Not great, not terrible. Both of them need to dial it back."
R0308,1.3094,Female,18,Asian / Pacific Islander,Lean Republican,Honestly I thought it was about time someone said something. The pope has been sticking his nose in american politics for years.
R0309,0.7385,Female,70,Hispanic,Lean Democrat,"Idk, haven't been paying attention"
R0310,1.6168,Female,41,"Black, non-Hispanic",Strong Republican,He said what he said and I agree with it. The pope is a globalist.
R0311,0.7907,Male,80,"White, non-Hispanic",Independent,Conflicted. I'm not a fan of how Trump said it but I do think the pope shouldn't be making political statements.
R0312,1.0632,Female,57,Hispanic,Independent,Sigh. I'm tired of all of it. Trump was too harsh but the pope shouldn't be weighing in on US elections either.
R0313,0.969,Female,46,"White, non-Hispanic",Strong Democrat,couldn't tell you
R0314,1.5915,Female,24,Other / Mixed Race,Strong Democrat,I try not to follow politics too closely so I'm not really sure
R0315,0.8649,Male,26,"Black, non-Hispanic",Strong Republican,"Not great, not terrible. Both of them need to dial it back."
R0316,1.3525,Male,32,Asian / Pacific Islander,Republican,I mean I'm not catholic so I don't really care but I thought Trump made some valid points
R0317,1.3349,Male,60,Other / Mixed Race,Strong Republican,Didn't phase me. Trump says controversial things all the time and he's usually right.
R0318,0.8654,Male,47,Other / Mixed Race,Strong Democrat,I was outraged. The pope is a moral leader for billions of people. Show some respect.
R0319,1.2132,Male,39,Hispanic,Democrat,haven't followed it
R0320,1.2952,Female,18,Other / Mixed Race,Strong Democrat,Disgusting behavior from the president. Pope Leo is a decent compassionate man.
R0321,1.597,Non-binary / Other,40,"White, non-Hispanic",Strong Republican,He said what he said and I agree with it. The pope is a globalist.
R0322,0.8879,Female,18,"White, non-Hispanic",Independent,I don't know
R0323,0.6751,Female,41,"White, non-Hispanic",Strong Democrat,I cried actually. I'm a lifelong Catholic and this felt like an attack on my faith.
R0324,1.3894,Male,38,Hispanic,Democrat,Not sure I heard about this
R0325,1.6404,Female,46,"White, non-Hispanic",Lean Democrat,no comment
R0326,1.197,Non-binary / Other,45,"White, non-Hispanic",Lean Democrat,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0327,1.061,Male,24,"White, non-Hispanic",Independent,It was a bit much but at the same time Leo has made some very pointed comments about US policy so...
R0328,0.5697,Male,42,Hispanic,Lean Republican,I mean I get why Trump is annoyed but maybe not the best way to handle it.
R0329,1.2483,Male,30,"Black, non-Hispanic",Republican,I didn't hear about that
R0330,0.8654,Male,60,Other / Mixed Race,Lean Democrat,I was really disturbed. He seems to have no limits anymore.
R0331,1.092,Non-binary / Other,53,"White, non-Hispanic",Strong Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0332,0.9765,Male,26,Hispanic,Independent,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0333,1.1407,Non-binary / Other,63,"White, non-Hispanic",Lean Democrat,It made me really sad. Even if you disagree with him you don't attack the pope like that.
R0334,0.8001,Non-binary / Other,69,"White, non-Hispanic",Strong Democrat,Mixed feelings honestly. I respect the pope but I also think Leo has been pretty outspoken politically so it's complicated.
R0335,0.9762,Female,59,"White, non-Hispanic",Strong Republican,I don't pay attention to that kind of stuff
R0336,0.9457,Female,26,"Black, non-Hispanic",Strong Republican,I was happy about it. Someone needs to stand up to these institutions.
R0337,1.0375,Male,37,Other / Mixed Race,Lean Democrat,"Not great, not terrible. Both of them need to dial it back."
R0338,1.837,Male,70,Other / Mixed Race,Strong Republican,I don't know
R0339,1.2488,Female,31,Asian / Pacific Islander,Lean Democrat,I thought it was way out of line. You can disagree with someone without being nasty about it.
R0340,0.9245,Male,44,Other / Mixed Race,Republican,He's not wrong. The pope has been very leftist and Trump was right to call him out.
R0341,0.8879,Male,18,Hispanic,Strong Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0342,1.5292,Male,30,Other / Mixed Race,Republican,Trump tells it like it is. The pope has been making political statements and trump responded. simple as that.
R0343,0.776,Non-binary / Other,64,Hispanic,Republican,Thought it was fine tbh. Francis used to do the same thing and nobody said a word. now its a problem bc its trump?
R0344,0.9748,Male,41,"Black, non-Hispanic",Democrat,I don't really have an opinion on this
R0345,0.7553,Male,50,Other / Mixed Race,Independent,No opinion
R0346,0.6455,Female,64,"White, non-Hispanic",Republican,Didn't bother me at all. The Vatican shouldn't be weighing in on US policy so I think Trump was justified.
R0347,0.499,Male,18,Asian / Pacific Islander,Strong Republican,"idk, i dont really care"
R0348,0.778,Female,18,"White, non-Hispanic",Independent,I don't pay attention to that kind of stuff
R0349,1.0482,Female,24,"Black, non-Hispanic",Democrat,Hard to say. I wish they would both stay in their lanes honestly.
R0350,0.4669,Non-binary / Other,24,Hispanic,Republican,Somewhat disturbed but also not entirely surprised. They've been on a collision course for a while.
